Direccion Std,Estatus,Latitud,Longitud
Aa.Hh. Ampliacion,No geocodificable,No encontrado,No encontrado
"Aa.Hh. Balneario 4 Sector 0 3, Ventanilla",No geocodificable,No encontrado,No encontrado
"Aa.Hh. Fundo Marquez 0 15, Callao",No geocodificable,No encontrado,No encontrado
"Aa.Hh. Las Esteras De Ancon Ma 8, Ancon",No geocodificable,No encontrado,No encontrado
"Aa.Hh. San Miguel 4, Cayma",No geocodificable,No encontrado,No encontrado
"Aahh Proceres De La Independen S/N 8, Callaria",No geocodificable,No encontrado,No encontrado
Abtao 623,No geocodificable,No encontrado,No encontrado
"Ac A La Playa 30, Ventanilla",No geocodificable,No encontrado,No encontrado
"Ac A La Playa 32, Ventanilla",No geocodificable,No encontrado,No encontrado
"Acantilados 193, El Tambo",No geocodificable,No encontrado,No encontrado
"Acari S/N 0, Acari",No geocodificable,No encontrado,No encontrado
"Acefeb Pto 10 0, Bellavista",No geocodificable,No encontrado,No encontrado
"Acefec 72, Bellavista",No geocodificable,No encontrado,No encontrado
"Aeropuerto S/N, Espinar",No geocodificable,No encontrado,No encontrado
"Agricultura 0, Concepcion",No geocodificable,No encontrado,No encontrado
"Agricultura 225, Concepcion",No geocodificable,No encontrado,No encontrado
"Agricultura 241, Concepcion",No geocodificable,No encontrado,No encontrado
"Agricultura 361, Concepcion",No geocodificable,No encontrado,No encontrado
"Agricultura 364, Concepcion",No geocodificable,No encontrado,No encontrado
"Agrup A 15, Ciudad Nueva",No geocodificable,No encontrado,No encontrado
"Aguajal Isla Del Vergel 0 8, Callaria",No geocodificable,No encontrado,No encontrado
"Agustin Gamarra 32, San Jeronimo",No geocodificable,No encontrado,No encontrado
"Agustin Gamarra 38, San Jeronimo",No geocodificable,No encontrado,No encontrado
"Ah 13 Abril Mz C Lt 1, Vice",No geocodificable,No encontrado,No encontrado
"Alamos 2288, El Tambo",No geocodificable,No encontrado,No encontrado
"Alan Garcia 303, Chao",No geocodificable,No encontrado,No encontrado
"Alberto Fujimori 230, Eduardo Villanueva",No geocodificable,No encontrado,No encontrado
"Alberto Fujimori 358, Eduardo Villanueva",No geocodificable,No encontrado,No encontrado
"Alfonso Ugarte 153, Andres Avelino Cacer",No geocodificable,No encontrado,No encontrado
"Alfonso Ugarte 390, Callaria",No geocodificable,No encontrado,No encontrado
"Alfonso Ugarte 411, Vice",No geocodificable,No encontrado,No encontrado
Alfonso Ugarte 545,No geocodificable,No encontrado,No encontrado
"Alfonso Ugarte Esq. C/Uru S/N Lc07, Lima",No geocodificable,No encontrado,No encontrado
Alfredo Bastos S/N Esq Con Aya 0,No geocodificable,No encontrado,No encontrado
"Algarrobo 0 2, Bellavista",No geocodificable,No encontrado,No encontrado
"Alias Aguirre 0 34, Santa",No geocodificable,No encontrado,No encontrado
Almirante Grau 453,No geocodificable,No encontrado,No encontrado
Almirante Miguel Grau 560,No geocodificable,No encontrado,No encontrado
Alonso De Alvarado 601,No geocodificable,No encontrado,No encontrado
Alto De La Alianza Pto -6 0,No geocodificable,No encontrado,No encontrado
"Amargura 0 21, Santa",No geocodificable,No encontrado,No encontrado
Amazona #668,No geocodificable,No encontrado,No encontrado
"Amazonas 2, Cayma",No geocodificable,No encontrado,No encontrado
"Amazonas 5, Cayma",No geocodificable,No encontrado,No encontrado
"Amazonas 418, Cerro Colorado",No geocodificable,No encontrado,No encontrado
"Amazonas 526, Rupa-Rupa",No geocodificable,No encontrado,No encontrado
Amazonas 668,No geocodificable,No encontrado,No encontrado
"Amazonas 908, Castilla",No geocodificable,No encontrado,No encontrado
"Amazonas 978, Castilla",No geocodificable,No encontrado,No encontrado
"Amazonas 3799, San Martin De Porres",No geocodificable,No encontrado,No encontrado
"America 293 201, La Victoria",No geocodificable,No encontrado,No encontrado
"America 412, Mariano Melgar",No geocodificable,No encontrado,No encontrado
"America 512, Mariano Melgar",No geocodificable,No encontrado,No encontrado
"America 514, Mariano Melgar",No geocodificable,No encontrado,No encontrado
"America 516, Mariano Melgar",No geocodificable,No encontrado,No encontrado
Andres A. Caceres 430,No geocodificable,No encontrado,No encontrado
"Andres A. Caceres Lt 19 0, Ate",No geocodificable,No encontrado,No encontrado
"Andres Avelino Caceres 0 18, Santa",No geocodificable,No encontrado,No encontrado
Andres Avelino Caceres 3013,No geocodificable,No encontrado,No encontrado
Andres De Los Reyes 125,No geocodificable,No encontrado,No encontrado
"Angamos 0, Ventanilla",No geocodificable,No encontrado,No encontrado
"Angamos 412, Ascension",No geocodificable,No encontrado,No encontrado
"Angamos Ma L7 . 7, San Bartolo",No geocodificable,No encontrado,No encontrado
Angamos Nro. Sn Int. 65,No geocodificable,No encontrado,No encontrado
"Angamos S/N, Ascension",No geocodificable,No encontrado,No encontrado
"Angel Sierra 0 28, Ventanilla",No geocodificable,No encontrado,No encontrado
"Angel Sierra 0 60, Ventanilla",No geocodificable,No encontrado,No encontrado
"Angel Sierra 0 75, Ventanilla",No geocodificable,No encontrado,No encontrado
"Angel Sierra 0 78, Ventanilla",No geocodificable,No encontrado,No encontrado
"Angel Sierra 0, Ventanilla",No geocodificable,No encontrado,No encontrado
"Angel Sierra 14, Ventanilla",No geocodificable,No encontrado,No encontrado
"Angel Sierra 64, Ventanilla",No geocodificable,No encontrado,No encontrado
"Angel Sierra . 33, Ventanilla",No geocodificable,No encontrado,No encontrado
"Angel Sierra Pto 120 0, Ventanilla",No geocodificable,No encontrado,No encontrado
"Angel Sierra Pto 133 0, Ventanilla",No geocodificable,No encontrado,No encontrado
"Antenor Orrego 0 22, La Victoria",No geocodificable,No encontrado,No encontrado
"Antenor Orrego 135, La Victoria",No geocodificable,No encontrado,No encontrado
"Antenor Orrego 425, Viru",No geocodificable,No encontrado,No encontrado
"Antenor Orrego 1054, La Victoria",No geocodificable,No encontrado,No encontrado
"Antisuyo 0, Saña",No geocodificable,No encontrado,No encontrado
"Antonieta Sevallos A7 ., Samuel Pastor",No geocodificable,No encontrado,No encontrado
"Antonio Jose De Sucre 237, Villa Maria Del Triu",No geocodificable,No encontrado,No encontrado
"Antonio Rivero 2780, Trujillo",No geocodificable,No encontrado,No encontrado
"Apecolic Pto.- 34, Comas",No geocodificable,No encontrado,No encontrado
"Apiar Km 13 . 8, Yura",No geocodificable,No encontrado,No encontrado
"Apocap 0, Ventanilla",No geocodificable,No encontrado,No encontrado
"Apv.Ing. Larapa Grande A4 2, San Jeronimo",No geocodificable,No encontrado,No encontrado
"Arenales 245, Andres Avelino Cacer",No geocodificable,No encontrado,No encontrado
"Argentina 0 4, Lima",No geocodificable,No encontrado,No encontrado
"Argentina 415, Alto De La Alianza",No geocodificable,No encontrado,No encontrado
"Argentina 505, Mariano Melgar",No geocodificable,No encontrado,No encontrado
"Argentina 1402, Mariano Melgar",No geocodificable,No encontrado,No encontrado
"Argentina 1631, Mariano Melgar",No geocodificable,No encontrado,No encontrado
"Argentina 3402, Callao",No geocodificable,No encontrado,No encontrado
"Arica 0 22, Chimbote",No geocodificable,No encontrado,No encontrado
"Arica 0 25, Chimbote",No geocodificable,No encontrado,No encontrado
"Arica 0 26, Chimbote",No geocodificable,No encontrado,No encontrado
"Arica 0, Colquemarca",No geocodificable,No encontrado,No encontrado
"Arica 93, Chanchamayo",No geocodificable,No encontrado,No encontrado
"Arica 101A, Jacobo Hunter",No geocodificable,No encontrado,No encontrado
"Arica 126, Jacobo Hunter",No geocodificable,No encontrado,No encontrado
"Arica 212, Urcos",No geocodificable,No encontrado,No encontrado
"Arica 252, Chanchamayo",No geocodificable,No encontrado,No encontrado
Arica 434A,No geocodificable,No encontrado,No encontrado
"Arica 602, Tacna",No geocodificable,No encontrado,No encontrado
"Arica 1995, Chiclayo",No geocodificable,No encontrado,No encontrado
"Arica S/N 0, Pomabamba",No geocodificable,No encontrado,No encontrado
"Aromo 14A, Moro",No geocodificable,No encontrado,No encontrado
"Arquitectos 14, Ventanilla",No geocodificable,No encontrado,No encontrado
"Asc.Barrio Nuevo 4 A, Samuel Pastor",No geocodificable,No encontrado,No encontrado
"Asc.Ciudad De Dios Zn 4 Com 6 1 Ll, Yura",No geocodificable,No encontrado,No encontrado
"Asc.Civil Rabindranath Tagore 10 E, Ate",No geocodificable,No encontrado,No encontrado
"Asc.Las Garzas 7 A, Callao",No geocodificable,No encontrado,No encontrado
"Asc.Los Alamos 12 A, Callao",No geocodificable,No encontrado,No encontrado
"Asc.Prqind. El Asesor 26 W, Ate",No geocodificable,No encontrado,No encontrado
"Ascarruz 31, Ate",No geocodificable,No encontrado,No encontrado
"Asent. H. El Porvenir Etapa 1 . 20, Bellavista",No geocodificable,No encontrado,No encontrado
"Asoc Pobla.Aquilino Jara Mz B 11, Rimac",No geocodificable,No encontrado,No encontrado
"Asoc Sector Agrario 4 H, Andres Avelino Cacer",No geocodificable,No encontrado,No encontrado
"Asoc. Amazonas . 10, Cerro Colorado",No geocodificable,No encontrado,No encontrado
"Asoc. Comercial La Marin 0, La Perla",No geocodificable,No encontrado,No encontrado
"Asoc. El Porvenir . 7, Yura",No geocodificable,No encontrado,No encontrado
"Asoc. Eliana Karp . 23, Coronel Gregorio Alb",No geocodificable,No encontrado,No encontrado
"Asoc. Hernan Bedoya Forga 0 16, Cerro Colorado",No geocodificable,No encontrado,No encontrado
"Asoc. Illa Cruz Mz. ""C"" Lt. 1, Jesus Nazareno",No geocodificable,No encontrado,No encontrado
"Asoc. Illacruz Mz. ""C"" Lt. 13, Jesus Nazareno",No geocodificable,No encontrado,No encontrado
"Asoc. Mirador 1884 22, Ite",No geocodificable,No encontrado,No encontrado
"Asoc. Perez Gamboa 0 29, Coronel Gregorio Alb",No geocodificable,No encontrado,No encontrado
"Asoc. Perez Gamboa . 15, Coronel Gregorio Alb",No geocodificable,No encontrado,No encontrado
"Asoc. Perez Gamboa . 25, Coronel Gregorio Alb",No geocodificable,No encontrado,No encontrado
"Asoc. Prog. De Vivienda Sta Ro 0 12, Callao",No geocodificable,No encontrado,No encontrado
"Asoc. San Francisco . 2, Coronel Gregorio Alb",No geocodificable,No encontrado,No encontrado
"Asoc. San Pedro San Pablo . 14, Alto De La Alianza",No geocodificable,No encontrado,No encontrado
"Asoc. Sarita Colonia Mz. ""K"" 20, Jesus Nazareno",No geocodificable,No encontrado,No encontrado
"Asoc. Sarita Coloniab 8, Jesus Nazareno",No geocodificable,No encontrado,No encontrado
"Asoc. Taller Costa Verde . 14, Coronel Gregorio Alb",No geocodificable,No encontrado,No encontrado
"Asoc. Trabajadores Municipales 16, Jesus Nazareno",No geocodificable,No encontrado,No encontrado
"Asoc. Transportista . 31, Coronel Gregorio Alb",No geocodificable,No encontrado,No encontrado
"Asoc. Villa San Cristobal S/N 9, Jesus Nazareno",No geocodificable,No encontrado,No encontrado
"Asoc. Virgen Inmaculada Concep 10, Jesus Nazareno",No geocodificable,No encontrado,No encontrado
"Asoc.26 De Mayo Sn, Ciudad Nueva",No geocodificable,No encontrado,No encontrado
"Asoc.Las Gardenias Iii Et 5 B 19, Ate",No geocodificable,No encontrado,No encontrado
"Asoci Popular Villa Universita 3, Castilla",No geocodificable,No encontrado,No encontrado
"Asociacion Hernan Bedoya Forga . 6A, Cerro Colorado",No geocodificable,No encontrado,No encontrado
"Asociacion Villa El Sol 3 E, Santiago",No geocodificable,No encontrado,No encontrado
"Atahualpa . 23, Cayma",No geocodificable,No encontrado,No encontrado
"Atahualpa Fte 21, Cayma",No geocodificable,No encontrado,No encontrado
"Atahualpa S/N, Mejia",No geocodificable,No encontrado,No encontrado
"Atusparia 0 A, Santa",No geocodificable,No encontrado,No encontrado
"Augusto B Leguia 734, Independencia",No geocodificable,No encontrado,No encontrado
"Augusto B. Leguia 202, Pisco",No geocodificable,No encontrado,No encontrado
"Augusto B. Leguia Independenci 0, Independencia",No geocodificable,No encontrado,No encontrado
Augusto B. Leguia S/N 0,No geocodificable,No encontrado,No encontrado
"Augusto B. Leguia S/N, Pisco",No geocodificable,No encontrado,No encontrado
Autopista Carlos Che Hiraoka S 0,No geocodificable,No encontrado,No encontrado
"Av 12 De Octubre 0 12-A, Chorrillos",No geocodificable,No encontrado,No encontrado
"Av Andrez A Caceres, Perene",No geocodificable,No encontrado,No encontrado
"Av Jose A Qui?Ones 100, Independencia",No geocodificable,No encontrado,No encontrado
"Av La Esperanza, Perene",No geocodificable,No encontrado,No encontrado
"Av-Brasil M-K Lt- 5, Ventanilla",No geocodificable,No encontrado,No encontrado
"Av-Francisco Arancibia N- 595, Rimac",No geocodificable,No encontrado,No encontrado
Av. Alberto De Las  Casas Sn N 1,No geocodificable,No encontrado,No encontrado
"Av. Ampliacion Mz P1 Lt 10 0, San Juan De Luriganc",No geocodificable,No encontrado,No encontrado
Av. Augusto B.Leguia S/N 0,No geocodificable,No encontrado,No encontrado
"Av. Bol?Var. 136. Sra. Clara 0, Ate",No geocodificable,No encontrado,No encontrado
"Av. Camana Mercado Nueva Esper 0 27, Majes",No geocodificable,No encontrado,No encontrado
"Av. Capit?N Qui??Nez 198. Sta. 0, Ate",No geocodificable,No encontrado,No encontrado
"Av. Cinco 0 2, San Jeronimo",No geocodificable,No encontrado,No encontrado
"Av. El Dorado Con Av Venu 223, Ventanilla",No geocodificable,No encontrado,No encontrado
"Av. El Milagro Lt. 1, Sayan",No geocodificable,No encontrado,No encontrado
"Av. Electro Peru 0 20, San Jeronimo",No geocodificable,No encontrado,No encontrado
"Av. Independencia 301, Dean Valdivia",No geocodificable,No encontrado,No encontrado
"Av. Jaquijahuana  540, Anta",No geocodificable,No encontrado,No encontrado
Av. Julio C. Tello S/N 0,No geocodificable,No encontrado,No encontrado
"Av. Larco Herrera S/N 0, Oyon",No geocodificable,No encontrado,No encontrado
"Av. Libertad Mza. G2 Lte. 23,C G2 23, Casma",No geocodificable,No encontrado,No encontrado
Av. Sim?N Bol?Var B - 8 Cercad 0,No geocodificable,No encontrado,No encontrado
"Av.Juan Velasco A.Ma L39 0 39, San Juan De Miraflor",No geocodificable,No encontrado,No encontrado
"Av.La Playaurb.Mercado Señor De Los Mila 291 C 11, Ventanilla",No geocodificable,No encontrado,No encontrado
"Av.Pro Comercio Mz 46 Lt 14 A 0, Chala",No geocodificable,No encontrado,No encontrado
"Ave 2 De Mayo N-560 560, San Vicente De Cañet",No geocodificable,No encontrado,No encontrado
"Ave 28 De Julio N-01 1, Ayna",No geocodificable,No encontrado,No encontrado
"Ave 31 De Mayo N932 932, Catac",No geocodificable,No encontrado,No encontrado
"Ave A.A.Caceres P1A 0, Jose Luis Bustamante",No geocodificable,No encontrado,No encontrado
"Ave A.A.Caceres P3, Jose Luis Bustamante",No geocodificable,No encontrado,No encontrado
"Ave A.A.Caceres P3A 0, Jose Luis Bustamante",No geocodificable,No encontrado,No encontrado
"Ave A.A.Caceres P3B 0, Jose Luis Bustamante",No geocodificable,No encontrado,No encontrado
"Ave A.A.Caceres P9 0, Jose Luis Bustamante",No geocodificable,No encontrado,No encontrado
"Ave A.A.Caceres P11A 0, Jose Luis Bustamante",No geocodificable,No encontrado,No encontrado
"Ave A.A.Caceres P15A, Jose Luis Bustamante",No geocodificable,No encontrado,No encontrado
"Ave Alfonso Ugarte N1020 P06 1020, La Perla",No geocodificable,No encontrado,No encontrado
"Ave Avelino Caceres Ns/N S/N 24, Jose Luis Bustamante",No geocodificable,No encontrado,No encontrado
"Ave Avelino Caceres P6 S/N, Jose Luis Bustamante",No geocodificable,No encontrado,No encontrado
"Ave Avelino Caceres P7 0, Jose Luis Bustamante",No geocodificable,No encontrado,No encontrado
"Ave Avelino Caceres P10 0, Jose Luis Bustamante",No geocodificable,No encontrado,No encontrado
"Ave Avelino Caceres P10 S/N, Jose Luis Bustamante",No geocodificable,No encontrado,No encontrado
"Ave Avelino Caceres P14 0, Jose Luis Bustamante",No geocodificable,No encontrado,No encontrado
"Ave Avelino Caceres P18 S/N, Jose Luis Bustamante",No geocodificable,No encontrado,No encontrado
"Ave Avelino Caceres P31 0, Jose Luis Bustamante",No geocodificable,No encontrado,No encontrado
"Ave Avelino Caceres P37 0, Jose Luis Bustamante",No geocodificable,No encontrado,No encontrado
"Ave Avelino Caceres P39 0, Jose Luis Bustamante",No geocodificable,No encontrado,No encontrado
"Ave Avelino Caceres P41 0, Jose Luis Bustamante",No geocodificable,No encontrado,No encontrado
"Ave Avelino Caceres Pb5, Jose Luis Bustamante",No geocodificable,No encontrado,No encontrado
"Ave Avelino Caceres Pi19 0, Jose Luis Bustamante",No geocodificable,No encontrado,No encontrado
"Ave Barrio De Dios M-H L-4 . 4, Santiago",No geocodificable,No encontrado,No encontrado
"Ave Buenos As. Nc1 C1, Bellavista",No geocodificable,No encontrado,No encontrado
"Ave Camino Real Mg L9 9, Chimbote",No geocodificable,No encontrado,No encontrado
"Ave Catalina Huanca N-388 388, Saño",No geocodificable,No encontrado,No encontrado
"Ave Centenario N947 947, Independencia",No geocodificable,No encontrado,No encontrado
"Ave Dos De Mayo Ns/N Mj L19 S/N 19, La Joya",No geocodificable,No encontrado,No encontrado
"Ave Estados Unidos Nv1 V1, Jose Luis Bustamante",No geocodificable,No encontrado,No encontrado
"Ave La Planchada Km 761, Ocoña",No geocodificable,No encontrado,No encontrado
Ave La Victoria 101,No geocodificable,No encontrado,No encontrado
"Ave Lazo Frnacisco N1601 1601, Lince",No geocodificable,No encontrado,No encontrado
"Ave Libertadores N-S/N S/N, Quinua",No geocodificable,No encontrado,No encontrado
"Ave Luis Orme O Mj1 L6 6, Casma",No geocodificable,No encontrado,No encontrado
"Ave Luis Orme Ocasma Mj1 L6 6, Casma",No geocodificable,No encontrado,No encontrado
"Ave Luis Vallejo Santoni M-Q L . 2, Santiago",No geocodificable,No encontrado,No encontrado
"Ave Luzuriaga N928 928, Independencia",No geocodificable,No encontrado,No encontrado
"Ave Maria Parado De Bellido N- S/N, Pucara",No geocodificable,No encontrado,No encontrado
"Ave Mariscal Castilla P6 0, Arequipa",No geocodificable,No encontrado,No encontrado
"Ave Mcal Castilla N1701 1701, Mariano Melgar",No geocodificable,No encontrado,No encontrado
"Ave Mcal Castilla N1703 1703, Mariano Melgar",No geocodificable,No encontrado,No encontrado
"Ave Oscar Benavides N3064 3064, Bellavista",No geocodificable,No encontrado,No encontrado
"Ave Pachacutec M-Z L-4 4, Tate",No geocodificable,No encontrado,No encontrado
"Aviacion 674 678, La Victoria",No geocodificable,No encontrado,No encontrado
"Aviacion 700, Cayma",No geocodificable,No encontrado,No encontrado
"Aviacion 1895, La Victoria",No geocodificable,No encontrado,No encontrado
"Aviacion 2080 19, La Victoria",No geocodificable,No encontrado,No encontrado
